2024-02-17 11:39:24.777 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-02-17 11:39:24.826 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.s.IndexSchema Schema name=default-config
2024-02-17 11:39:24.826 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.s.IndexSchema Schema name=default-config
2024-02-17 11:39:24.951 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-02-17 11:39:24.951 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-02-17 11:39:24.951 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.c.CoreContainer Creating SolrCore 'techproducts_shard2_replica_n1' using configuration from configset techproducts, trusted=true
2024-02-17 11:39:24.951 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.c.CoreContainer Creating SolrCore 'techproducts_shard1_replica_n4' using configuration from configset techproducts, trusted=true
2024-02-17 11:39:24.962 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.c.SolrCore Opening new SolrCore at [/Users/rezafitriaman/IdeaProjects/apache-solr-playground/solr-9.5.0/example/cloud/node2/solr/techproducts_shard1_replica_n4], dataDir=[/Users/rezafitriaman/IdeaProjects/apache-solr-playground/solr-9.5.0/example/cloud/node2/solr/techproducts_shard1_replica_n4/data/]
2024-02-17 11:39:24.962 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.c.SolrCore Opening new SolrCore at [/Users/rezafitriaman/IdeaProjects/apache-solr-playground/solr-9.5.0/example/cloud/node2/solr/techproducts_shard2_replica_n1], dataDir=[/Users/rezafitriaman/IdeaProjects/apache-solr-playground/solr-9.5.0/example/cloud/node2/solr/techproducts_shard2_replica_n1/data/]
2024-02-17 11:39:25.298 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-02-17 11:39:25.306 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-02-17 11:39:25.306 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-02-17 11:39:25.306 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-02-17 11:39:25.306 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-02-17 11:39:25.309 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-02-17 11:39:25.309 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-02-17 11:39:25.309 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-02-17 11:39:25.309 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-02-17 11:39:25.331 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.r.ManagedResourceStorage Configured ZooKeeperStorageIO with znodeBase: /configs/techproducts
2024-02-17 11:39:25.332 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.r.ManagedResourceStorage Configured ZooKeeperStorageIO with znodeBase: /configs/techproducts
2024-02-17 11:39:25.335 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.r.ManagedResourceStorage Loaded null at path _rest_managed.json using ZooKeeperStorageIO:path=/configs/techproducts
2024-02-17 11:39:25.335 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.r.ManagedResourceStorage Loaded null at path _rest_managed.json using ZooKeeperStorageIO:path=/configs/techproducts
2024-02-17 11:39:25.336 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.s.ZkIndexSchemaReader Creating ZooKeeper watch for the managed schema at /configs/techproducts/managed-schema.xml
2024-02-17 11:39:25.336 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.s.ZkIndexSchemaReader Creating ZooKeeper watch for the managed schema at /configs/techproducts/managed-schema.xml
2024-02-17 11:39:25.336 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.s.ZkIndexSchemaReader Current schema version 0 is already the latest
2024-02-17 11:39:25.336 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.s.ZkIndexSchemaReader Current schema version 0 is already the latest
2024-02-17 11:39:25.341 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2024-02-17 11:39:25.341 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2024-02-17 11:39:25.344 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-02-17 11:39:25.344 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-02-17 11:39:25.346 INFO  (searcherExecutor-22-thread-1-processing-techproducts_shard1_replica_n4 localhost-7 core_node7 localhost:7574_solr techproducts shard1) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-02-17 11:39:25.346 INFO  (searcherExecutor-21-thread-1-processing-techproducts_shard2_replica_n1 localhost-7 core_node3 localhost:7574_solr techproducts shard2) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-02-17 11:39:25.346 INFO  (searcherExecutor-22-thread-1-processing-techproducts_shard1_replica_n4 localhost-7 core_node7 localhost:7574_solr techproducts shard1) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-02-17 11:39:25.346 INFO  (searcherExecutor-21-thread-1-processing-techproducts_shard2_replica_n1 localhost-7 core_node3 localhost:7574_solr techproducts shard2) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-02-17 11:39:25.349 INFO  (searcherExecutor-22-thread-1-processing-techproducts_shard1_replica_n4 localhost-7 core_node7 localhost:7574_solr techproducts shard1) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-02-17 11:39:25.349 INFO  (searcherExecutor-21-thread-1-processing-techproducts_shard2_replica_n1 localhost-7 core_node3 localhost:7574_solr techproducts shard2) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
